review_id,hotel_id,review_text,target_entity
56,2004,Terrible customer service. The Facilities was a big part of our experience.,Facilities
57,2005,Service was neither good nor bad. The Value for money was a big part of our experience.,Value for money
58,2002,"It's okay, nothing special. The Comfort was a big part of our experience.",Comfort
59,2005,I would definitely buy again. The Facilities was a big part of our experience.,Facilities
60,2003,Customer support was amazing. The Location was a big part of our experience.,Location
61,2005,I would definitely buy again. The Staff was a big part of our experience.,Staff
62,2002,Exceeded my expectations. The Free WiFi was a big part of our experience.,Free WiFi
63,2002,Decent but not remarkable. The Cleanliness was a big part of our experience.,Cleanliness
64,2005,I would definitely buy again. The Free WiFi was a big part of our experience.,Free WiFi
65,2003,Great value for the price. The Comfort was a big part of our experience.,Comfort
66,2002,Customer support was amazing. The Staff was a big part of our experience.,Staff
67,2005,Customer support was amazing. The Value for money was a big part of our experience.,Value for money
68,2001,Best purchase I've made this year. The Facilities was a big part of our experience.,Facilities
69,2005,Didn't meet expectations at all. The Free WiFi was a big part of our experience.,Free WiFi
70,2001,Fantastic service and quality. The Location was a big part of our experience.,Location
71,2002,Exceeded my expectations. The Cleanliness was a big part of our experience.,Cleanliness
72,2002,Product broke after one use. The Location was a big part of our experience.,Location
73,2002,Best purchase I've made this year. The Facilities was a big part of our experience.,Facilities
74,2003,Great value for the price. The Facilities was a big part of our experience.,Facilities
75,2003,Not worth the money. The Free WiFi was a big part of our experience.,Free WiFi
76,2002,I would definitely buy again. The Facilities was a big part of our experience.,Facilities
77,2003,Best purchase I've made this year. The Staff was a big part of our experience.,Staff
78,2001,Average experience. The Cleanliness was a big part of our experience.,Cleanliness
79,2005,No major complaints or praise. The Facilities was a big part of our experience.,Facilities
80,2002,"Five stars, no complaints. The Value for money was a big part of our experience.",Value for money
81,2005,"Five stars, no complaints. The Cleanliness was a big part of our experience.",Cleanliness
82,2003,Completely dissatisfied. The Free WiFi was a big part of our experience.,Free WiFi
83,2005,I regret buying this. The Location was a big part of our experience.,Location
84,2004,Worst product I’ve purchased. The Facilities was a big part of our experience.,Facilities
85,2002,I would definitely buy again. The Location was a big part of our experience.,Location
86,2004,Terrible customer service. The Free WiFi was a big part of our experience.,Free WiFi
87,2004,It works as expected. The Free WiFi was a big part of our experience.,Free WiFi
88,2003,Brilliant design and easy to use. The Staff was a big part of our experience.,Staff
89,2002,Great value for the price. The Facilities was a big part of our experience.,Facilities
90,2004,Great value for the price. The Facilities was a big part of our experience.,Facilities
91,2005,No major complaints or praise. The Staff was a big part of our experience.,Staff
92,2003,"Product is fine, does the job. The Facilities was a big part of our experience.",Facilities
93,2001,Wouldn’t buy this again. The Location was a big part of our experience.,Location
94,2002,Service was neither good nor bad. The Location was a big part of our experience.,Location
95,2003,Fantastic service and quality. The Cleanliness was a big part of our experience.,Cleanliness
96,2002,Brilliant design and easy to use. The Free WiFi was a big part of our experience.,Free WiFi
97,2002,Average experience. The Staff was a big part of our experience.,Staff
98,2002,Decent but not remarkable. The Facilities was a big part of our experience.,Facilities
99,2005,Didn't meet expectations at all. The Free WiFi was a big part of our experience.,Free WiFi
100,2005,Meets the basic requirements. The Free WiFi was a big part of our experience.,Free WiFi
